comment,target_by_RuBRT-tiny_no_processing,target_by_RuBRT-tiny_processing,target_by_stars
Очень вкусная слива,1,1,1
"Практически вся картошка зеленая, из двух ящиков выбрали всего несколько штук нормальных",0,0,0
гнилое,0,0,0
"Выбрали 2 шт. в магазине, положили на неделю, но они остались деревянными(( на выброс пошли((",0,0,0
"Привезли сегодня, очень жесткие",0,0,0
Безвкусные,1,1,0
"Жесткие, безвкусные, без запаха. Не рекомендую!",0,0,0
Хороший картофель,1,1,1
Сухие…,0,0,0
"Гнилая, водянистая. Из лотка пришлось выбросить 12 штук - почти половина.",0,0,0
"На вид очень привлекательная. Сочная и сладкая , но вкуса сливы в ней нет . Ощущение что глотнул сладкой воды. А стоит такая сладкая вода не мало.",1,1,0
"Привезли какие то другие, не такие как раньше в . Мелкие. 1 испорчен",0,0,1
Размер мандаринов 3 см.,0,0,0
"Последние 2 поставки не сладкий, недозрел",0,0,0
Свежий вкусный,1,1,1
"С пятнами,вялая морковь
Некондиция, такую только выбросить",0,0,0
"Старые, квелые яблоки",0,0,0
Норм,0,0,1
"Капуста очень горькая, прям есть невозможно в сыром виде",0,0,0
Это совсем не фермерский чеснок. Китай 100%,0,0,0
"на мой вкус кисловатый, но вообще хороший",1,1,0
Очень твердая мякоть,0,0,1
"Основание огурца сморщенное и мягкое, полное разочарование. Такие огурцы только минус 40 надо продавать",0,0,0
"Долго варится, странная",0,0,0
Хорошая,1,1,1
"Очень вкусно! Сладкие, сочные, спелые! Но дорого",1,1,1
Чеснок фермерский запах превосходный отличные качества рекомендую,1,1,1
Не особо вкусные.,0,0,0
"Ужасный вкус пластика, а не винограда. Такого г.. не ела в жизни.",0,0,0
"В первый раз привезли нормальную сладкую,а потом кислую и плотную лежала пару дней не дозрела",0,0,0
"Не повезло, данная клубника не сладкая от слова совсем (ООО Провинция), только эстетическое наслаждение. А вот клубника от 27 апреля (ИП Вербина)прелесть и аромат и сладость.",1,0,0
"Сладкие, вкусные, может партией попалось, но однозначно стоит брать",1,1,1
"Не сочные, ватные персики",0,0,0
Сухая и безвкусная 😔,1,1,0
"Мандарины уже высохли , к сожалению",0,0,0
"Заказала мандарины Надоркотт, привезли не те мандарины, какую- мелочь целый пакет. Или ваши васовщики думаюя, что челоаек заказывает и можно его обманывать, всякую ***** накладывать, сто первое попадеться под руки. Я, что незнаю, как выглядят мандарины этого сорта. Вчера, так же заказывала привезли крупные и хорошие.",0,0,0
По вкусу - трава( прям совсем трава,0,1,0
"Арбуз безвкусный, хотя по виду и звуку спелый.",0,0,0
"Спелые, сочные, ароматные, мягкие, сладкие, но уставшие, долго лежали дозревали в магазине.",1,1,1
"Мандарины сладкие, но ощущение будто перезрели",0,1,1
"Свежие, вкусные бананы",1,1,1
"Очень много испорченных ягод, и не сладкая вообще,а кислая",0,0,0
Нормальный,1,1,1
"Горькая кожица, после них щипет рот. Какие-то химозные",0,0,0
Сухие и не сочные,0,0,0
Сладкие! Супер!,1,1,1
Кислый и вялый.,0,0,0
Совсем не мытая,0,0,0
"Покупали уже несколько раз, отличная дыня. Сладкая, крепкая, летом не всегда такую купишь.",1,1,1
"Раз на раз не приходится. Бывает, привозят зелёные бананы со вкусом травы, бывает отличные спелые",1,0,0
Не сладкая совершенно,0,0,1
"Вкусные, сладкие, но немного мягковаты",1,1,1
Приехали абсолютно сухие :(,0,0,0
"Пресный, трава на вкус. Купила в разных местах, вкус одинаковый.",0,0,0
"Отличный кокос. Вкусный. Молока много, прозрачное. Никакой плесени и запаха нет. Не удалось открыть трубочкой, муж сверлил😅
Продуктом очень довольна😋",1,1,1
"Сладкие, без косточек мандарины.",1,1,1
По ЗЦ нужно быстро съедать Вкусные,1,1,1
"Сочные , хрустящие",1,0,1
Не вкусный,0,0,0
"Это не картофель, а просто ужас! Разваривается до состояния желе. Сладкий. Качество просто жесть!",0,0,0
"Да. В белом исполнении (мешочке) поменьше кокос и труднее его проткнуть из-за оставшейся мохнатки, соответственно практически невозможно разделить, чтобы съесть орех.",0,0,1
"Кислые, не дозрели. Неделю назад брала были очень вкусные кисло-сладкие.",1,1,0
Жесткие будто им уже много месяцев,0,0,0
Вкусная груша.,1,1,1
Совсем безвкусная(((,0,1,0
"Капуста зеленая, вкус горький",1,0,0
Ужасно невкусные старые яблоки,0,0,0
"Половина крупная и хорошая, но вторая половина мелочь, уже подвявшая и сморщенная. Упаковка без наклеек производителя, как на фото, только наклейка вкусвила на прозрачном контейнере. Ощущение, что с каждым разом голубики все меньше и она все хуже.",0,0,0
"Раньше всегда покупала этот картофель и все было хорошо, в этот раз почти весь был зеленый (солонин вроде выработался) пришлось выкинуть, жду следующую партию, может будет лучше",0,0,0
Была совсем не сладкой,0,0,0
Кисловатая клубника. Через ягоду попадается недозрелая,1,0,0
Сочно и вкусно,1,1,1
Потрясающие,1,1,1
Не спелая совсем,0,0,0
"Шикарная капуста, сочная!!!",1,1,1
"В этот раз не повезло: дыня перебродившая ближе к серединке и картонная ближе к корочке. Это точно не то, чего ожидаешь за эту стоимость.",0,0,0
"Во Вкусвилл были очень вкусные сладкие бананы - сейчас то гнилые, не незрелые, которые даже почистить невозможно и хрустят как огурцы. При такой стоимости это преступление. Безвкусные. Кажется, нужна замена поставщиков.",0,0,0
иногда зеленоватый-нарушены условия хранегия,0,0,1
Самые вкусные бананы!,1,1,1
"Очень вкусная клубника, почти как с грядки!",1,1,1
"Очень вкусная и сочная груша, но необходимо, что бы полежала пару дней. За пару дней она дозревает и становится мягкой и желтой",1,1,1
Сладкий,1,1,1
"Кислый и не ароматный совсем, вкуса и запаха ананаса нет, сильно обжигает язык из-за кислотности",0,0,0
"Кислый, местами испорчен",0,0,0
"Отличные мандарины. Только что привезли. Очень сочные. Сладкие, но не приторные. Кожица рыхлая, прекрасно чистится. Косточек нет. Рекомендую.",1,1,1
На фото красивые а привозят полузеленые,0,0,0
Вкусный сочный перец,1,1,1
Как бумага местами сухие,0,0,0
"Груша твердущая,слабосладенькая,практически безвкусная.",0,0,0
"Дыню прислали битую, порченую, несмотря на комментарий. На вкус просто кислая.",0,0,0
самая худшая картошка эвер,0,0,0
"Бананы, они везде бананы)",0,0,1
"Несколько раз заказывали, приходили чудесные сладкие сочные сливы. А сегодня, к сожалению, сливы пришли крупнее обычного, но дубовые - твердые и совсем не сладкие.",0,1,0
Сладкие. Иногда суховатые. Не смертельно.,0,1,1
"Не самые вкусные. Сладкие, косточек мало. Но уже суховаты, такое впечатление, что долго лежали.",0,0,1
"Бананы в первый день вкусные ,но что с ними становится на следующий день непонятно ,чернеют ,внутри пятна и вкус не тот уже",0,0,0
Очень часто попадаются гнилые,0,0,0
Вкусный без косточек,1,1,1
"Крепкая, хорошая капуста",1,1,1
Не вкусная и не дозрелая!,0,0,0
"Авокадо не съедобное, не зрелое, жесткое, трудно разрезать",0,0,0
"Виноград с кислинкой, совсем не сладкий. Либо перепутали сорт.На фото виноградинки круглые, а доставили продолговатые.",0,0,0
"Сочные, шкурка жуется, нет блеска воска.",0,0,1
"Замый вкусный кокос!!! молока как будто 2 литра. Советую!!
Привозите больше!!!!!!!! 👍",1,1,1
"Груши обалденные. Сочнейшие, вкуснейшие. Дайте только им полежать на окошке пару-тройку дней. Беру их всю весну, объедение 💚",1,1,1
Водяная,0,0,0
Жёлто-зелёный. По вкусу - трава.,1,0,0
Вкусный и крупный апельсин,1,1,1
На вкус и по консистенции - как вата!,1,1,0
"Привезли серо-белый ананас, одна долька желтая. Небольшие вкрапления тоже желтые, будто все вымачивали, а на них сохранился прежний цвет. Ни вкуса ни тем более аромата нет совсем, скорее, неприятный, мыльно-кислый. Плохие огурцы лучше на вкус такого ананаса. Такой непонятный продукт есть опасно. Фирма ""Вкусные истории"" продает мусор. Так как только сутки с даты упаковки, значит, такое они и планировали продать.",0,0,0
Вяловатый ),1,1,1
Вкусные бананы,1,1,1
"Хрустящие бананы, которые ещё и вяжут",0,0,0
"Ужасная клубника
Не сладкая
Внутри светлая и пустая
1/4 часть порченная
Я в шоке
Если бы покупала рядом с домом отнесла бы обратно",0,0,0
"обычный, свежий, хороший лук",1,1,1
Не сочный. Сухой.,0,0,0
"Крепкая хрустящая груша( поработать челюстями придётся , но я люблю похрустеть ) не сочная и не вата , достаточно сладкая, поэтому груша Ксения мне понравилась больше чем эта, так как вильямс оставляет послевкусие дюшеса во рту, а я не оч люблю долгое послевкусие, сьеденного мною продукта : фрукта овоща и тд , не важно что это было))",1,0,1
Капуста сухая ( не сочная),0,0,1
Очень вкусные бананы от ТСБ СЕВЕР,1,1,1
"Сладкие, спелые , сочные",1,1,1
Отлично,1,1,1
Вкусная и сладкая клубника 🍓,1,1,1
"Нормальная картошка, с учетом, что сейчас весна и картофель в это время года всегда не такой как осенью",1,0,1
Кислый- вырви глаз! Виноград совершенно неспелый,0,0,0
Ужасный горький вкус. Есть просто невозможно. Потраченные зря деньги,0,0,0
"Чуть сладкие, но немного суховаты",1,1,1
Картофель вкусный. Заказывали для дачи. Запекали на углях.,1,0,1
